"ayto:foto";"ayto:numero";"ayto:parada";"ayto:sentido";"dc:identifier";"dc:modified";"gn:coordX";"gn:coordY";"id";"vivo:address1";"wgs84_pos:lat";"wgs84_pos:long"
"oracle.sql.BLOB@6dc9042a";"337";"Jose Maria Gonzales Trevilla sin numero";"Lluja";"180";"2014-04-14 12:20:01";"435666.8";"4815068";"http://datos.santander.es/api/datos/paradas_bus/180";"Jose Mª Glez Trevilla.s/n";"43.483886962641094";"-3.7968680911811443"
"oracle.sql.BLOB@283099b5";"338";"Glorieta de Adarzo";"A.Odriozola";"140";"2014-04-14 12:20:01";"430071.9";"4811860";"http://datos.santander.es/api/datos/paradas_bus/140";"Glorieta de Adarzo S/N";"43.454501663651094";"-3.865635919234582"
"oracle.sql.BLOB@ebb4eb0";"341";"Decatlhon";"PCTCAN";"213";"2014-04-14 12:20:01";"430206.2";"4811943";"http://datos.santander.es/api/datos/paradas_bus/213";"Joaquin Rodrigo";"43.45526148459051";"-3.8639867694082484"
"oracle.sql.BLOB@2b2b0c5e";"342";"Carrefour Alisal";"PCTCAN";"212";"2014-04-14 12:20:01";"430427.5";"4812057";"http://datos.santander.es/api/datos/paradas_bus/212";"Joaquin Rodrigo";"43.456308483471844";"-3.861266296811012"
"oracle.sql.BLOB@17390576";"343";"Carrefour Alisal";"A.Odriozola";"141";"2014-04-14 12:20:01";"430436.1";"4812048";"http://datos.santander.es/api/datos/paradas_bus/141";"Carrefour S/N";"43.45622825329217";"-3.8611588591546746"
"oracle.sql.BLOB@209591e3";"352";"Camarreal 135";"Piquio";"120";"2014-04-14 12:20:01";"429272.06";"4810743.26";"http://datos.santander.es/api/datos/paradas_bus/120";"Camarreal nº 135";"43.44437208954452";"-3.875376012164925"
"oracle.sql.BLOB@3b9cdecb";"353";"Camarreal 136";"Ojaiz";"121";"2014-04-14 12:20:01";"429254.07";"4810730.56";"http://datos.santander.es/api/datos/paradas_bus/121";"Camarreal nº 136";"43.44425604653375";"-3.8755966604578242"
"oracle.sql.BLOB@37e70000";"355";"Ojaiz";"Piquio";"311";"2014-04-14 12:20:01";"428863.6";"4810460";"http://datos.santander.es/api/datos/paradas_bus/311";"Ojaiz";"43.44178308798099";"-3.8803862510332556"
"oracle.sql.BLOB@1eb11cac";"444";"Paseo de Pereda nº 35";" Ojaiz";"312";"2014-04-14 12:20:01";"435546";"4812680";"http://datos.santander.es/api/datos/paradas_bus/312";"Paseo de Pereda nº 35";"43.46237628379118";"-3.7980790205137342"
"oracle.sql.BLOB@7dd16ff1";"445";"LLuja - Cementerio";"Cueto";"26963";"2014-04-14 12:20:01";"429490";"4811445";"http://datos.santander.es/api/datos/paradas_bus/26963";"Barrio LLuja";"43.45071065653161";"-3.8727737726056257"
"oracle.sql.BLOB@410c77bf";"454";"PCTCAN - 1";"Valdenoja";"26414";"2014-04-14 12:20:01";"429706.9";"4811675";"http://datos.santander.es/api/datos/paradas_bus/26414";"PCTCAN";"43.452801835162845";"-3.8701229961950556"
"oracle.sql.BLOB@1989bdf6";"453";"Campo de Futbol";"Alisal";"26398";"2014-04-14 12:20:01";"436187.69";"4814251.57";"http://datos.santander.es/api/datos/paradas_bus/26398";"Avenida de Pontejos";"43.47658093036815";"-3.7903315557106905"
"oracle.sql.BLOB@22166e93";"455";"Adarzo";"PCTCAN";"26416";"2014-04-14 12:20:01";"430062.6";"4811870";"http://datos.santander.es/api/datos/paradas_bus/26416";"Joaquin Rodrigo";"43.454590827509264";"-3.865752139138853"
"oracle.sql.BLOB@6eb58660";"193";"Gregorio Marañón";"Consuelo Berges";"321";"2014-04-14 12:20:01";"436237.8";"4814577";"http://datos.santander.es/api/datos/paradas_bus/321";"Gregorio Marañón";"43.479515207561015";"-3.789750151043878"
"oracle.sql.BLOB@4f894168";"254";"Ines Diego Del Noval Fte 146";"Lluja";"71";"2014-04-14 12:20:01";"434992.8";"4814745";"http://datos.santander.es/api/datos/paradas_bus/71";"Ines Diego Del Noval Fte.146";"43.48092051644745";"-3.8051634686391056"
"oracle.sql.BLOB@3c253ba3";"331";"Corban";"Consuelo Berges";"138";"2014-04-14 12:20:01";"429932.7";"4813011";"http://datos.santander.es/api/datos/paradas_bus/138";"Corban S/N";"43.464851464125985";"-3.8675043007514143"
"oracle.sql.BLOB@306e692e";"348";"Via Cornelia  ( Esquina Juan XXIII )";"Plaza de los Remedios";"160";"2014-04-14 12:20:01";"434417.6";"4813089";"http://datos.santander.es/api/datos/paradas_bus/160";"Via Cornelia  ( Esquina Juan XXIII )";"43.465960573625665";"-3.8120759053342854"
"oracle.sql.BLOB@20bb63d9";"350";"Calle del Monte 30";"Plaza de los Remedios";"161";"2014-04-14 12:20:01";"434050.1";"4812957";"http://datos.santander.es/api/datos/paradas_bus/161";"Calle del Monte nº 30";"43.464739793221575";"-3.816602677889607"
"oracle.sql.BLOB@6e984c58";"351";"Francisco Palazuelos 13";"Plaza de los Remedios";"162";"2014-04-14 12:20:01";"435446.5";"4813102";"http://datos.santander.es/api/datos/paradas_bus/162";"Francisco Palazuelos";"43.46616716612086";"-3.7993589192033292"
